,date,Symbols,open,high,low,close,volume
0,2014-06-09,DIA,151.1186,151.5296,151.0292,151.2258,2713344
1,2014-06-09,IBB,81.4763,82.6329,81.4763,81.9654,4217394
2,2014-06-09,IHE,122.8761,123.1084,122.2232,122.7455,14799
3,2014-06-09,IVV,176.8616,177.5004,176.6997,177.0866,3010607
4,2014-06-09,IYC,118.0155,118.3865,117.6635,117.9489,53758
5,2014-06-09,IYE,48.3845,48.6835,48.3143,48.4373,3954520
6,2014-06-09,IYF,76.3183,76.7301,76.3183,76.6203,557267
7,2014-06-09,IYH,116.5669,116.8813,116.2246,116.5021,1386618
8,2014-06-09,IYJ,97.8799,98.9416,97.7961,98.5272,6442430
9,2014-06-09,IYW,90.6144,91.1165,90.567,90.8797,1815441
10,2014-06-09,IYZ,26.3763,26.5716,26.3408,26.4828,625850
11,2014-06-09,QQQ,88.389,88.5127,88.051,88.2938,23402469
12,2014-06-09,RTH,56.5162,56.5162,56.1062,56.1715,10872
13,2014-06-09,SMH,44.3999,44.7435,44.3999,44.4464,2730288
14,2014-06-09,SPY,176.9272,177.5612,176.7642,177.1355,65118828
15,2014-06-09,XLB,44.945,45.0899,44.8272,44.9087,7319763
16,2014-06-09,XLE,84.1826,84.6429,83.9916,84.2,5652005
17,2014-06-09,XLF,16.8893,16.9781,16.8745,16.9559,32282964
18,2014-06-09,XLI,49.9316,50.4103,49.8684,50.2026,11160310
19,2014-06-09,XLK,35.179,35.2986,35.1146,35.2434,6392010
20,2014-06-09,XLP,39.5248,39.6474,39.4898,39.5511,6310416
21,2014-06-09,XLV,55.7389,55.7853,55.3866,55.4978,5533449
22,2014-06-09,XLY,62.363,62.6331,62.2513,62.3351,2568708
23,2014-06-10,DIA,151.1454,151.342,150.8684,151.3241,2822680
24,2014-06-10,IBB,81.9555,82.59,81.2494,82.3851,4107003
25,2014-06-10,IHE,122.8854,123.0347,121.99,123.0067,83630
26,2014-06-10,IVV,176.8437,177.1136,176.4658,177.0506,2551443
27,2014-06-10,IYC,117.5874,117.7016,117.3686,117.5684,14269
28,2014-06-10,IYE,48.3669,48.4667,48.2526,48.3845,488274
29,2014-06-10,IYF,76.3366,76.5288,76.2945,76.5105,203196
30,2014-06-10,IYH,116.1876,116.8536,115.7807,116.8444,234618
31,2014-06-10,IYJ,98.4201,98.4201,97.9637,98.3176,1395921
32,2014-06-10,IYW,90.7565,91.1406,90.7565,91.0786,248560
33,2014-06-10,IYZ,26.4828,26.5183,26.332,26.3675,77442
34,2014-06-10,QQQ,88.2176,88.4937,88.1129,88.4461,20635286
35,2014-06-10,RTH,56.069,56.0876,55.9758,55.9944,7983
36,2014-06-10,SMH,44.5114,44.7528,44.335,44.6692,1461436
37,2014-06-10,SPY,176.9091,177.1898,176.5377,177.1536,57129440
38,2014-06-10,XLB,44.8091,44.9812,44.6461,44.9721,2658451
39,2014-06-10,XLE,84.2087,84.2782,83.8483,84.0611,3766080
40,2014-06-10,XLF,16.9115,16.9485,16.8819,16.9485,21570110
41,2014-06-10,XLI,50.0852,50.1845,49.8774,50.0852,3846763
42,2014-06-10,XLK,35.2434,35.3032,35.1882,35.2618,3594667
43,2014-06-10,XLP,39.4372,39.5931,39.4197,39.5511,4362014
44,2014-06-10,XLV,55.5071,55.6833,55.1362,55.6833,6922426
45,2014-06-10,XLY,62.1954,62.3258,62.1209,62.214,5461647
46,2014-06-11,DIA,150.7879,150.8416,150.1982,150.4304,3065888
47,2014-06-11,IBB,81.7407,82.818,81.5259,82.2959,3846312
48,2014-06-11,IHE,122.7082,123.3891,122.7082,123.3612,30371
49,2014-06-11,IVV,176.4208,176.6367,176.07,176.4838,1772666
50,2014-06-11,IYC,117.283,117.5684,117.0357,117.264,21731
51,2014-06-11,IYE,48.279,48.6483,48.1559,48.578,306430
52,2014-06-11,IYF,76.2634,76.2634,75.8424,76.0346,263516
53,2014-06-11,IYH,116.5114,116.9553,116.4189,116.7796,98387
54,2014-06-11,IYJ,97.8799,97.9265,97.4701,97.6564,2539273
55,2014-06-11,IYW,90.6523,91.1108,90.6523,90.9176,123003
