date,open,high,low,close,volume,OpenInterest,positive_std,negative_std
2014-06-09,56.5162,56.5162,56.1062,56.1715,10872,0,-0.297635859194664,0.0900103904077489
2014-06-10,56.069,56.0876,55.9758,55.9944,7983,0,1.84478835536794,0.142327372124179
2014-06-11,55.9479,55.9479,55.7056,55.7615,6287,0,0,0
2014-06-12,55.6497,55.6963,54.9053,54.9696,192039,0,0,0
2014-06-13,54.923,54.9696,54.8019,54.9044,7170,0,0.822524325654764,-0.975739481811503
2014-06-16,54.8112,55.0534,54.8112,55.0441,15539,0,0.988002108121039,-2.06975801335617
2014-06-17,54.9975,55.3143,54.9975,55.2025,22017,0,0.183911322724111,-1.6994610352982
2014-06-18,55.3609,55.8174,55.3236,55.7895,6374,0,0,0
2014-06-19,56.0224,56.0969,55.5938,55.687,26589,0,1.27861391617132,-1.25070670631738
2014-06-20,55.7429,55.7429,55.3888,55.4727,9435,0,-0.0620632042744484,0.555312105885363
2014-06-23,55.5006,55.5938,55.4913,55.5938,6403,0,0,0
2014-06-24,55.2864,55.7242,55.2864,55.4075,225035,0,-0.642267095300063,-0.0859910642323189
2014-06-25,55.305,55.4913,55.305,55.4727,21184,0,0.0711407619558698,0.247153616876546
2014-06-26,55.0441,55.3236,55.0348,55.2957,5892,0,-0.796799220073642,0.0142862864321703
2014-06-27,55.2864,55.4075,55.1839,55.4075,9565,0,-0.342227540492545,0.46467852667832
2014-06-30,55.305,55.482,55.2397,55.2397,6154,0,0.457579113294532,-0.492780690555241
2014-07-01,55.4261,55.7615,55.3982,55.7336,6415,0,0,0
2014-07-02,55.6404,55.9385,55.6404,55.7988,22827,0,-0.6216646493616,-0.0683640997736266
2014-07-03,56.0038,56.218,56.0038,56.1901,7842,0,0,0
2014-07-07,56.0224,56.0969,55.9292,56.0131,4840,0,0,0
2014-07-08,55.6218,55.6963,55.5193,55.659,18946,0,0,0
2014-07-09,55.8454,56.0131,55.8361,55.9944,7886,0,0,0
2014-07-10,55.3795,55.687,55.3795,55.6218,6956,0,0,0
2014-07-11,55.5752,55.8267,55.5565,55.8267,8803,0,0,0
2014-07-14,56.0597,56.1062,55.8454,55.8966,23715,0,-1.27634822960405,0.363628793939876
2014-07-15,55.9944,56.0224,55.7149,55.9106,14082,0,-2.03346446272723,-2.66331461242381
2014-07-16,56.1062,56.1062,55.7149,55.7801,14273,0,0,0
2014-07-17,55.687,55.7708,55.3236,55.3982,11069,0,0.544220782416026,1.82205202753582
2014-07-18,55.5463,56.0224,55.4913,55.9945,18497,0,0,0
2014-07-21,56.0131,56.0131,55.5845,55.7429,16938,0,0,0
2014-07-22,55.8267,56.0317,55.8267,56.0224,5381,0,-0.559228353934055,-2.52136525031992
2014-07-23,56.1435,56.218,55.9665,56.218,9859,0,0,0
2014-07-24,56.5441,56.6187,56.5069,56.5348,5488,0,0,0
2014-07-25,55.7522,55.8174,55.5939,55.7149,8981,0,-1.04347811999513,-1.60029008034038
2014-07-28,55.6683,55.6683,55.305,55.4913,41264,0,-1.32451335431556,0.300649094453134
2014-07-29,55.687,55.892,55.5752,55.5938,21467,0,1.87585039436846,-1.84981385586022
2014-07-30,55.6963,55.9479,55.6031,55.9013,5401,0,0,0
2014-07-31,55.4727,55.5873,55.0347,55.0348,7159,0,-1.40536110686895,-0.738876214895611
2014-08-01,54.895,55.128,54.7553,54.9603,6268,0,-0.764808071931276,-0.289771857665522
2014-08-04,55.0162,55.4261,54.9882,55.4239,10250,0,0,0
2014-08-05,55.1746,55.3982,54.7272,54.9696,5879,0,-0.290689847300186,-1.6560535266376
2014-08-06,54.2988,55.0693,54.2988,54.8764,149364,0,1.29276134698918,0.58429100028972
2014-08-07,55.0162,55.0162,54.4665,54.6155,7442,0,-0.937451602714153,0.265115008399477
2014-08-08,54.8671,55.6124,54.8671,55.5752,6208,0,0.189311037379866,0.12769671284546
2014-08-11,55.7801,55.8547,55.7056,55.7708,5213,0,0,0
2014-08-12,55.7615,55.8267,55.5845,55.7149,6236,0,1.41096084962875,0.413816917664675
2014-08-13,55.7336,55.8733,55.5752,55.6683,12500,0,0,0
2014-08-14,55.8733,56.218,55.8733,56.218,20215,0,-0.482183110996565,1.62380913901482
2014-08-15,56.3205,56.3671,55.687,55.8826,13654,0,0,0
2014-08-18,56.218,56.4789,56.218,56.423,42253,0,0,0
2014-08-19,56.8982,57.4013,56.8982,57.2802,37032,0,0,0
2014-08-20,57.2243,57.6994,57.2243,57.6435,12292,0,-1.91439970885169,-2.85319839400197
2014-08-21,57.6342,57.8112,57.6342,57.6435,10871,0,0,0
2014-08-22,57.9417,57.9417,57.7087,57.8485,2119,0,0,0
2014-08-25,57.9696,58.0721,57.951,57.9696,6862,0,0,0
