date,open,high,low,close,volume,OpenInterest,positive_std,negative_std
2014-06-09,84.1826,84.6429,83.9916,84.2,5652005,0,0,0
2014-06-10,84.2087,84.2782,83.8483,84.0611,3766080,0,-1.07635177367741,2.98312357727411
2014-06-11,83.8092,84.4953,83.6269,84.3824,5651668,0,-0.234140206511849,0.0371876398059114
2014-06-12,84.7558,85.2247,84.5039,84.6603,11869815,0,3.51898883714295,0.435483517649012
2014-06-13,84.886,85.4766,84.3824,85.4679,9737216,0,0,0
2014-06-16,85.7718,86.1713,85.6155,85.9802,13386921,0,-0.581191863156928,0.322732069870251
2014-06-17,85.8065,85.9368,85.3723,85.9194,10045494,0,-0.113587890068888,-0.0984591236533411
2014-06-18,85.9542,86.6489,85.6676,86.5707,14863564,0,0,0
2014-06-19,86.6228,87.2047,86.3797,86.7792,8677236,0,0,0
2014-06-20,87.6373,88.1084,87.3494,88.056,9096156,0,0,0
2014-06-23,88.3265,88.5708,88.0997,88.3701,7959180,0,0,0
2014-06-24,88.2916,88.357,86.3199,86.5118,17748459,0,0.0514502640355854,-1.35040157109399
2014-06-25,86.1541,87.2534,86.0581,87.1661,13860340,0,-2.42252706565676,2.04210422035312
2014-06-26,87.2185,87.3319,86.4638,87.2621,8080008,0,0,0
2014-06-27,87.0527,87.3057,86.7561,87.2621,8229289,0,-2.15438480228328,1.23519008540903
2014-06-30,87.201,87.4365,86.8608,87.3319,6312791,0,0,0
2014-07-01,87.55,87.8205,87.1661,87.3843,6894105,0,0,0
2014-07-02,87.3145,87.5675,87.0658,87.2534,5926355,0,-0.203300822754903,-1.65710110282853
2014-07-03,87.6722,87.6722,87.0963,87.5849,3668829,0,-1.06416490409855,0.179624862502532
2014-07-07,87.4977,87.5064,86.7561,86.9131,6932367,0,0,0
2014-07-08,86.7823,86.9917,86.4333,86.7735,10392325,0,1.01997489276987,0.35581609124654
2014-07-09,86.9131,87.3973,86.7735,87.3494,6415671,0,0,0
2014-07-10,86.5554,86.8346,86.0669,86.5118,14908658,0,0,0
2014-07-11,86.4071,86.4246,85.6219,85.8488,10805839,0,0,0
2014-07-14,86.2675,86.695,86.1454,86.5903,6870266,0,-1.10659367971262,0.306428971146288
2014-07-15,86.3548,86.5729,85.6568,86.2152,9997254,0,-0.204153470413356,-1.08440286569886
2014-07-16,86.5729,87.5587,86.5467,87.5238,8177015,0,0,0
2014-07-17,87.4541,87.7245,86.0485,86.1105,11017817,0,0,0
2014-07-18,86.3286,86.5772,85.936,86.3634,8318482,0,0,0
2014-07-21,86.1454,86.5554,86.0145,86.4944,9398231,0,0,0
2014-07-22,86.8782,87.3881,86.791,87.1138,5978016,0,0,0
2014-07-23,87.3319,87.6809,86.9568,87.6722,6701314,0,0,0
2014-07-24,87.8118,88.0909,87.4541,87.7507,5747232,0,0,0
2014-07-25,87.4366,87.5151,86.9917,87.1051,4803461,0,0,0
2014-07-28,87.0353,87.1836,86.3659,86.8957,7478201,0,0,0
2014-07-29,86.7386,87.1729,86.634,86.6776,6832820,0,-0.323430149941528,0.40966948164837
2014-07-30,87.0876,87.3581,85.8836,86.1628,10780805,0,1.0189643611022,-0.964790138769246
2014-07-31,85.6132,85.6568,84.2434,84.3045,17285161,0,0,0
2014-08-01,84.069,84.3394,82.8955,83.624,17833264,0,0,0
2014-08-04,83.6066,85.2337,83.3536,85.0287,12896457,0,0,0
2014-08-05,84.6709,84.8454,82.6818,83.1703,16440170,0,0,0
2014-08-06,82.9958,84.383,82.8475,83.4146,11548041,0,0,0
2014-08-07,83.8421,83.9904,82.4375,82.8912,13256982,0,0,0
2014-08-08,83.1442,84.3656,82.9435,84.2783,11586395,0,0,0
2014-08-11,84.828,85.129,84.226,84.2871,11203566,0,0,0
2014-08-12,84.1649,84.1649,83.3143,83.6676,9998142,0,0,0
2014-08-13,84.1213,84.3918,83.6327,83.9381,6488951,0,0,0
2014-08-14,84.0602,84.1911,83.3317,83.4582,7617630,0,0,0
2014-08-15,85.6219,85.8836,85.2293,85.2817,7159376,0,0,0
2014-08-18,84.383,84.5575,83.9468,84.3045,8597847,0,0,0
2014-08-19,84.479,85.1072,84.4179,84.9501,5998042,0,0,0
