date,open,high,low,close,volume,OpenInterest
2014-06-09,35.179,35.2986,35.1146,35.2434,6392010,0
2014-06-10,35.2434,35.3032,35.1882,35.2618,3594667,0
2014-06-11,35.1146,35.271,35.087,35.179,4254852,0
2014-06-12,35.1974,35.3078,34.765,34.8754,4818001,0
2014-06-13,35.087,35.1422,34.9306,35.0778,7331675,0
2014-06-16,35.0134,35.179,34.9582,35.0778,7065464,0
2014-06-17,35.0502,35.225,35.0134,35.1606,7037598,0
2014-06-18,35.2342,35.363,34.9766,35.3446,13035265,0
2014-06-19,35.3998,35.3998,35.1422,35.1146,5918748,0
2014-06-20,35.2588,35.3235,35.1294,35.2033,5427718,0
2014-06-23,35.1664,35.305,35.134,35.305,3767121,0
2014-06-24,35.2865,35.4667,35.037,35.1202,8471329,0
2014-06-25,35.0462,35.3143,35.0093,35.2588,5111856,0
2014-06-26,35.2865,35.305,35.0139,35.2218,11352298,0
2014-06-27,35.1941,35.4344,35.1756,35.4344,10883328,0
2014-06-30,35.4067,35.5592,35.3836,35.4436,4490433,0
2014-07-01,35.573,35.915,35.5453,35.8041,7488882,0
2014-07-02,35.8688,35.8873,35.7856,35.8411,4970038,0
2014-07-03,35.9704,36.0167,35.8503,35.9982,2193046,0
2014-07-07,35.9982,36.0629,35.9057,36.0351,10482168,0
2014-07-08,36.0167,36.0167,35.5176,35.7117,6923856,0
2014-07-09,35.7671,35.9011,35.6886,35.8873,7118133,0
2014-07-10,35.3235,35.9381,35.3235,35.7856,4421945,0
2014-07-11,35.8688,35.9704,35.7764,35.9704,3261418,0
2014-07-14,36.1368,36.2754,36.0998,36.2292,4209101,0
2014-07-15,36.3124,36.3586,35.9612,36.1645,7417055,0
2014-07-16,36.4418,36.5157,36.2708,36.4141,6181589,0
2014-07-17,36.1923,36.488,36.146,36.4602,4770496,0
2014-07-18,36.1923,36.488,36.146,36.4602,4770496,0
2014-07-21,36.4418,36.5157,36.2708,36.4141,6181589,0
2014-07-22,36.6266,36.7468,36.5619,36.7191,4789762,0
2014-07-23,36.8022,36.8854,36.6405,36.7838,5473434,0
2014-07-24,36.8947,36.8947,36.6821,36.756,11659600,0
2014-07-25,36.6451,36.756,36.5342,36.7098,4749496,0
2014-07-28,36.7375,36.8438,36.4834,36.7745,7762226,0
2014-07-29,37.0425,37.0425,36.6821,36.7006,7312421,0
2014-07-30,36.8669,36.8669,36.5619,36.7375,7762585,0
2014-07-31,36.5065,36.5435,35.9889,36.0444,17416663,0
2014-08-01,35.952,36.0998,35.6747,35.8494,15507425,0
2014-08-04,35.9612,36.2015,35.7764,36.1045,6333724,0
2014-08-05,35.8873,36.0074,35.6192,35.7671,12293402,0
2014-08-06,35.5268,35.8272,35.4806,35.6562,9140902,0
2014-08-07,35.8041,35.8688,35.3882,35.5083,6865031,0
2014-08-08,35.4899,35.7671,35.3752,35.7394,6022790,0
2014-08-11,37.3753,37.3753,36.9871,37.0333,6891593,0
2014-08-12,35.878,35.9843,35.7209,35.8965,6704924,0
2014-08-13,35.9797,36.2477,35.9797,36.2477,5492695,0
2014-08-14,36.2754,36.3124,36.1553,36.3124,4614659,0
2014-08-15,36.3956,36.488,36.0536,36.3124,8910873,0
2014-08-18,36.5619,36.6694,36.4603,36.6544,4247989,0
2014-08-19,36.756,36.8947,36.7098,36.8854,5047776,0
2014-08-20,36.83,36.9501,36.8022,36.8854,7005292,0
2014-08-21,36.8854,37.1118,36.8854,37.061,3454481,0
2014-08-22,37.0887,37.1442,36.9825,37.0703,4407968,0
2014-08-25,37.2459,37.2551,37.0333,37.1072,3430743,0
2014-08-26,37.1627,37.1719,37.0795,37.1257,3355910,0
2014-08-27,37.135,37.1627,37.0102,37.1165,4331205,0
2014-08-28,36.9871,37.1165,36.9224,37.061,3528469,0
2014-08-29,37.1257,37.2366,37.024,37.2274,7684232,0
2014-09-02,37.3106,37.3106,37.1257,37.2366,5688847,0
2014-09-03,37.3753,37.3753,36.9871,37.0333,6891593,0
2014-09-04,37.1072,37.2782,36.9039,37.0148,5213177,0
2014-09-05,37.0887,37.2459,36.9963,37.2366,7026224,0
2014-09-08,37.2181,37.3845,37.135,37.2921,6387058,0
2014-09-09,37.3106,37.4677,36.9224,37.024,8562663,0
2014-09-10,37.0333,37.2967,36.9316,37.2459,7237241,0
2014-09-11,37.1719,37.3475,37.0425,37.329,10322240,0
2014-09-12,37.3013,37.3198,37.0518,37.1719,5555691,0
2014-09-15,37.2366,37.2366,36.8817,36.9501,6882164,0
2014-09-16,36.8392,37.2736,36.7745,37.2274,11911364,0
2014-09-17,37.2181,37.4399,37.0795,37.3013,7654467,0
2014-09-18,37.3753,37.5416,37.3753,37.5231,7395314,0
2014-09-19,37.6566,37.6566,37.2992,37.4431,15727192,0
2014-09-22,37.4524,37.4524,37.0857,37.1925,6380423,0
2014-09-23,37.1368,37.2714,37.0445,37.1089,5968495,0
